,CVE_DOC,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO
1090,F39154,942.7,108.0,667.91,2576.7,625.1,684.8
1091,F39156,942.7,0.0,219.9,2576.7,625.1,684.8
1092,F39159,315.0,57.6,57.6,1260.0,230.4,257.4
1093,F39174,1475.3,288.77,288.77,2576.7,625.1,1186.53
1094,F39177,582.13,0.0,131.24,2328.52,524.96,450.89
1095,F39179,773.06,0.0,126.1,1546.12,252.21,646.96
1096,F39181,6.54,6.0,6.0,65.35,60.0,0.54
1097,F39181,299.8,50.94,50.94,2098.6,356.56,248.86
1098,F39183,1102.75,0.0,751.86,2576.7,625.1,350.89
1099,F39184,155.0,62.95,62.95,465.0,188.86,92.05
1100,F39188,1330.35,0.0,326.25,2660.7,652.49,1004.1
1101,F39191,942.7,0.0,219.9,2576.7,625.1,684.8
1102,F39199,825.0,332.9,332.9,8250.0,625.1,492.1
1103,F39200,1283.8,0.0,131.36,1283.8,131.36,1152.44
1104,F39201,942.7,0.0,219.9,2576.7,625.1,684.8
1105,F39203,581.46,0.0,144.87,1162.92,289.73,436.59
1106,F39204,555.06,0.0,96.17,1110.12,192.34,458.89
1107,F39208,942.7,108.0,800.35,2576.7,625.1,684.8
1108,F39212,1370.74,0.0,328.39,1370.74,328.39,1042.35
1109,F39213,1018.0,0.0,273.77,1018.0,273.77,744.23
1110,F39216,817.79,0.0,133.04,1635.58,266.08,684.75
1111,F39223,530.64,0.0,325.23,2122.56,1300.94,205.41
1112,F39229,732.0,222.0,222.0,732.0,222.0,510.0
1113,F39231,210.0,90.91,90.91,210.0,90.91,119.09
1114,F39231,305.5,113.59,113.59,305.5,113.59,191.91
1115,F39233,485.0,144.4,144.4,1940.0,577.6,340.6
1116,F39235,965.4,0.0,413.55,965.4,413.55,551.85
1117,F39237,606.0,236.6,236.6,3030.0,1182.99,369.4
1118,F39237,398.0,0.0,113.64,3980.0,1136.37,284.36
1119,F39238,1157.93,0.0,187.54,1157.93,187.54,970.39
1120,F39239,942.7,0.0,219.9,4500.0,1088.23,684.8
1121,F39240,699.52,0.0,66.79,1399.04,133.59,632.73
1122,F39248,462.0,220.0,220.0,462.0,220.0,242.0
1123,F39253,299.8,0.0,59.54,899.4,178.63,240.26
1124,F39254,155.0,62.95,62.95,310.0,125.91,92.05
